公司简称,变动数量(万股),占总股本比例,变动后持股总数(万股),变动后占总股本比例,涨跌幅
上海银行,106413.5668,8.7173,4366284.7656,5.841904761904762,-1.066081081081081
上海雅仕,3278.82,24.8259,48018.1724,7.792857142857142,0.8692857142857142
上港集团,125548.5,2.7,62774.25,0.9,0.11999999999999995
世名科技,6310.9194,40.7406,209058.6785,2.8587084148727984,-1.997799227799228
世嘉科技,160.0,1.9996,2482.0,5.17,-0.15499999999999997
世纪华通,107735.9315,16.9999,1049204.1081,6.419411764705882,-0.31388888888888883
世纪天鸿,955.56,6.825,22500.135,5.0215625,-0.27593749999999995
世纪瑞尔,20540.6706,33.5163,3304223.142,11.572069672131148,0.2864471057884232
世纪鼎利,4138.0231,8.3016,110419.76490000001,1.2007784431137725,-0.8380239520958085
世联行,33534.0314,20.9753,1404090.5398000001,5.447333333333334,-0.4315384615384616
世茂股份,57424.0866,15.1112,557193.5927,6.749090909090909,-1.2568
世荣兆业,13450.1561,20.976,32119.731399999997,3.30764705882353,-2.661764705882353
世运电路,856.79,2.1285,82488.1239,33.61833333333333,4.371666666666667
世龙实业,5868.5084,24.4492,108321.5936,10.745476190476191,-0.5604761904761905
东信和平,3933.0391,13.9556,174678.6932,17.856875,0.285
东兴证券,30400.0,7.3946000000000005,58827.524,1.409375,0.7582608695652173
东北制药,44492.8216,83.9034,1564231.7589,10.717591623036649,-1.2797448979591837
东北证券,53780.134,33.2791,2907566.4121,9.524304932735426,-0.23726457399103137
东华测试,99.71000000000001,0.8777,4145.1549,1.571764705882353,1.8794117647058823
东华科技,11673.802,26.1617,1726460.067,50.26766233766234,2.1074025974025976
东华能源,68187.1097,43.1983,276024.6829,2.6176288659793814,-0.3686274509803922
东华软件,66176.90209999999,22.9095,724721.5228,5.549655172413793,0.13244444444444448
